Reference Airport Code,Traffic Level,Country,United,American,Taca,Delta,Alaska,Korean (on Korean),Korean (on Skyteam),ANA,Singapore,Virgin Atlantic (on DL),Air France,Lufthansa/Miles&More,Alitalia,Aeromexico,Air Canada,,,
SJO,Low,Costa Rica,Central America,Central America,Central America South,Central America,Central America,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"SJO,",14
ABJ,Very Low,Cote D'Ivoire,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,"East, West and South Africa",,"ABJ,",13
ZAG,Alliance Hub,Croatia,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,,Europe 2,,"ZAG,",12
HAV,Low,Cuba,,,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America",,,"Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",,,,"HAV,",8
CUR,Low,Curacao,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America",,"North America, Aruba, Bonaire, Curacao, Suriname",,,,,,"CUR,",9
LCA,Low,Cyprus,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,"Middle East, North Africa",,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"LCA,",13
PRG,Low,Czech Republic,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"PRG,",14
FIH,Very Low,Democratic Republic of the Congo,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,,Central & Southern Africa,Africa,"East, West and South Africa",,"FIH,",10
CPH,Alliance Hub,Denmark,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"CPH,",14
JIB,Very Low,Djibouti,Central/Southern Africa,,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,,,"JIB,",9
DOM,Very Low,Dominica,,,,Caribbean,Other,,Central America,"South, Latin America",,,,,,,,,"DOM,",4
PUJ,Low,Dominican Republic,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"PUJ,",14
IPC,Low,Easter Island,,South Pacific,,,Other,,,,,,,,,,,,"IPC,",2
UIO,Low,Ecuador,Northern South America,South America Region 1,North of South America,Northern South America,South America,,South America,"South, Latin America",South America,South America,Latin America 1 ,South America,South America 1,North South America,Northern South America,,"UIO,",14
CAI,Alliance Hub,Egypt,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Africa,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,North Africa,Middle East & North Africa,,"CAI,",13
SAL,Low,El Salvador,Central America,Central America,Central America North,Central America,Central America,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"SAL,",14
SSG,Very Low,Equatorial Guinea,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"SSG,",13
ASM,Very Low,Eritrea,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Middle East/Caucasus/North/Central Africa,,North Africa,"East, West and South Africa",,"ASM,",10
TLL,Low,Estonia,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"TLL,",13
ADD,Alliance Hub,Ethiopia,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"ADD,",13
MPN,Very Low,Falkland Islands,,,,,Other,,,"South, Latin America",,,,,,,,,"MPN,",2
LYR,Very Low,Faroe Islands,,,,Europe,Other,,,,,,,,,,,,"LYR,",2
NAN,Low,Fiji,Oceania,South Pacific,Others,Southwest Pacific,Fiji,Oceania,Oceania,"Oceania, Micronesia",South West Pacific,,Pacific 2,Australia/New Zealand/Oceania,Australia & Pacific,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"NAN,",14
HEL,Alliance Hub,Finland,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 2,Europe,Europe 2 & North Africa 2,Europe,Europe 2,,"HEL,",13
PAR,Alliance Hub,France - Paris,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"PAR,",14
NCE,Low,France - Nice / Monaco,,,,Europe,Other,,,,,,,,,,,,"NCE,",2
CAY,Very Low,French Guinea,Northern South America,,,Northern South America,South America,,Central America,"South, Latin America",,,"Central America, Caribbean, Hawaii, Bermuda",South America,South America 1,North South America,,,"CAY,",9
PPT,Low,French Polynesia,Oceania,South Pacific,Others,Southwest Pacific,French Polynesia,,Oceania,"Oceania, Micronesia",South West Pacific,South West Pacific,Pacific 1,Australia/New Zealand/Oceania,Tahiti,"Australia, NZ and South Pacific","Australia, New Zealand & South Pacific",,"PPT,",14
LBV,Very Low,Gabon,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"LBV,",12
BJL,Very Low,Gambia,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Middle East/Caucasus/North/Central Africa,,North Africa,"East, West and South Africa",,"BJL,",10
SXF,Medium,Germany - Berlin - Schonefeld,Europe,Europe,Europe,Europe,Other,,Europe,Europe,Europe,,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"SXF,",13
TXL,Medium,Germany - Berlin - Tegel,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"TXL,",13
CGN,Medium,Germany - Cologne-Bonn,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"CGN,",13
DUS,Alliance Hub,Germany - Dusseldorf,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"DUS,",13
FRA,Alliance Hub,Germany - Frankfurt,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,"Zone 12 - Europe II (BCN, FRA, LON, MAN, MXP, DME, MUC, CDG, ZRH)",UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"FRA,",14
HAM,Medium,Germany - Hamburg,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"HAM,",13
MUC,Alliance Hub,Germany - Munich,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"MUC,",14
TBS,Very Low,Georgia,Europe,Europe,Middle East/North Africa,Europe,Other,,Europe,Europe,"Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,Middle East,Europe 2,,"TBS,",13
ACC,Very Low,Ghana,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,"East, West and South Africa",,"ACC,",13
ATH,Alliance Hub,Greece,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 3 + North Africa,Europe,Europe 2 & North Africa 2,Europe,Europe 2,,"ATH,",14
GIB,Very Low,Gibraltar,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,,,,,,,,,"GIB,",7
GOH,Very Low,Greenland,Europe,Europe,,,Other,,Europe,,,,,North America,,,Europe 2,,"GOH,",6
GND,Low,Grenada,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America",,Central America & Caribbean,,Central America & Caribbean,,,"GND,",11
PTP,Low,Guadeloupe,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America",,"Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"PTP,",13
GUM,Low,Guam,Oceania,Asia Region 2,South Asia,Northern Asia,Other,Southeast Asia,Asia 2,Asia 1,North Asia 2,South West Pacific,Pacific 2,Australia/New Zealand/Oceania,Southeast Asia,"Australia, NZ and South Pacific",Asia 2,,"GUM,",15
GUA,Low,Guatemala,Central America,Central America,Central America North,Central America,Central America,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"GUA,",14
CKY,Very Low,Guinea,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,"East, West and South Africa",,"CKY,",12
OXB,Very Low,Guinea-Bissau,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Middle East/Caucasus/North/Central Africa,,,"East, West and South Africa",,"OXB,",9
GEO,Very Low,Guyana,Northern South America,,,Caribbean,South America,,Central America,"South, Latin America",,,"Central America, Caribbean, Hawaii, Bermuda",,,North South America,Northern South America,,"GEO,",8
HNL,Alliance Hub,Hawaii - Honolulu,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,,North America,Hawaii,"Hawaii, Central America",Hawaii,"Central America, Caribbean, Hawaii, Bermuda",Hawaii,"Central America, Caribbean, Hawaii, Mexico",Hawaii,Hawaii,,"HNL,",14
PAP,Very Low,Haiti,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"PAP,",14
HKG,Alliance Hub,Hong Kong,South Asia,Asia Region 2,,Northern Asia,Rest of Asia,China/Northeast Asia,Asia 2,Asia 1,"Zone 4 - South China, Hong Kong, Taiwan","Africa, Middle East & Asia",Asia 2,Far East,Southeast Asia,Southeast Asia,Asia 1,,"HKG,",14
BUD,Medium,Hungary,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"BUD,",13
TGU,Low,Honduras,Central America,Central America,Central America North,Central America,Central America,,Central America,"South, Latin America",,"Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"TGU,",13
MAA,Medium,India - Chennai,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,India,,Asia 3,Asia 2,"Zone 6 - South Asia (India, Sri Lanka, Maldives & Bangladesh)",,Indian Subcontinent,India,Indian Sub-Continent,Southwest Asia,Indian Subcontinent,,"MAA,",13
DEL,Alliance Hub,India - Delhi,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,India,,Asia 3,Asia 2,"Zone 6 - South Asia (India, Sri Lanka, Maldives & Bangladesh)",,Indian Subcontinent,India,Indian Sub-Continent,Southwest Asia,Indian Subcontinent,,"DEL,",13
BOM,Alliance Hub,India - Mumbai,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,India,Southwest Asia,Asia 3,Asia 2,"Zone 6 - South Asia (India, Sri Lanka, Maldives & Bangladesh)",,Indian Subcontinent,India,Indian Sub-Continent,Southwest Asia,Indian Subcontinent,,"BOM,",14
DPS,Alliance Hub,Indonesia - Denpasar/Bali,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 2 - Malaysia, Indonesia & Brunei",,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 2,,"DPS,",14
CGK,Alliance Hub,Indonesia - Jakarta,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 2 - Malaysia, Indonesia & Brunei",,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 2,,"CGK,",14
KEF,Low,Iceland,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,,UK/Europe,,Europe,,Europe,Europe 2,,"KEF,",11
THR,Very Low,Iran,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"THR,",13
DUB,Alliance Hub,Ireland - Dublin,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"DUB,",14
SNN,Medium,Ireland - Shannon,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"SNN,",14
TLV,Alliance Hub,Israel,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",UK/Europe,Europe 3 + North Africa,Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,Middle East,Middle East & North Africa,,"TLV,",14
MXP,Alliance Hub,Italy - Milan-Malpensa,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 1 & North Africa 1,Europe,Europe 1,,"MXP,",14
FCO,Alliance Hub,Italy - Rome,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 2,Europe,Europe 1 & North Africa 1,Europe,Europe 1,,"FCO,",14
SDA,Very Low,Iraq,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,,Middle East/Caucasus/North/Central Africa,,Middle East,Middle East & North Africa,,"SDA,",11
FUK,Medium,Japan - Fukuoka,Japan,Asia Region 1,North Asia,Northern Asia,Japan,Japan,Asia 1,Japan,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"FUK,",15
ITM,Medium,Japan - Osaka - Itami,Japan,Asia Region 1,North Asia,Northern Asia,Japan,,Asia 1,Japan,North Asia 2,,Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"ITM,",13
KIX,Medium,Japan - Osaka - Kansai Int'l,Japan,Asia Region 1,North Asia,Northern Asia,Japan,Japan,Asia 1,Japan,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"KIX,",15
HND,Alliance Hub,Japan - Tokyo - Haneda,Japan,Asia Region 1,North Asia,Northern Asia,Japan,Japan,Asia 1,Japan,North Asia 2,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"HND,",15
NRT,Alliance Hub,Japan - Tokyo - Narita,Japan,Asia Region 1,North Asia,Northern Asia,Japan,Japan,Asia 1,Japan,Zone 7 - Japan & South Korea,"Africa, Middle East & Asia",Asia 1 (Eastern Russia),Far East,Northern Asia,North Asia,Asia 1,,"NRT,",15
KIN,Low,Jamaica,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"KIN,",14
AMM,Low,Jordan,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,Middle East,Middle East & North Africa,,"AMM,",13
NBO,Alliance Hub,Kenya,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"NBO,",12
ALA,Very Low,Kazakhstan,Central Asia,Middle East / Indian Subcontinent,Central Asia,Middle East,Rest of Asia,,Asia 2,Asia 2,"Central, South Asia",,"Middle East, Central Asia, Central Russia",Central Asia,Middle East,Southwest Asia,Middle East & North Africa,,"ALA,",13
TRW,Very Low,Kiribati,,,,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",,,,,,,,,"TRW,",4
KWI,Very Low,Kuwait,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"KWI,",13
FRU,Very Low,Kyrgyzstan,Central Asia,Middle East / Indian Subcontinent,Central Asia,Middle East,Rest of Asia,,Asia 2,Asia 2,"Central, South Asia",,,Central Asia,Middle East,Southwest Asia,Middle East & North Africa,,"FRU,",12
VTE,Low,Laos,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,,Asia 2,Asia 2,South East Asia 2,,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 2,,"VTE,",13
RIX,Low,Latvia,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"RIX,",13
BEY,Low,Lebanon,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Europe 3 & Near East,Middle East,Middle East & North Africa,,"BEY,",13
MSU,Very Low,Lesotho,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,,Southern Africa,,,"East, West and South Africa",,"MSU,",9
LIR,Very Low,Liberia,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,,Africa,"East, West and South Africa",,"LIR,",11
TIP,Very Low,Libya,Northern Africa,Africa,Middle East/North Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Middle East, North Africa",,Europe 3 + North Africa,Middle East/Caucasus/North/Central Africa,Europe 1 & North Africa 1,North Africa,Middle East & North Africa,,"TIP,",13
VNO,Low,Lithuania,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"VNO,",13
LUX,Low,Luxembourg,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 2,,"LUX,",13
MFM,Low,Macau,South Asia,,,Southeast Asia,Rest of Asia,,Asia 2,Asia 1,North Asia 1,,,Far East,,,Asia 1,,"MFM,",8
SKP,Low,Macedonia,Europe,Europe,,Europe,Europe,,Europe,Europe,Europe,,Europe 3 + North Africa,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"SKP,",12
TNR,Very Low,Madagascar,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"TNR,",13
FNC,Low,Madeira,Europe,Europe,Europe,,Other,,,,,,,Middle East/Caucasus/North/Central Africa,,,,,"FNC,",5
KUL,Alliance Hub,Malaysia,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 2 - Malaysia, Indonesia & Brunei",,Asia 2,South East Asia,Southeast Asia,Southeast Asia,Asia 2,,"KUL,",14
LLW,Very Low,Malawi,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 1,Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"LLW,",13
MLE,Low,Maldives,Central Asia,Middle East / Indian Subcontinent,Central Asia,South Asian Subcontinent,Rest of Asia,Southwest Asia,Asia 3,Asia 2,"Zone 6 - South Asia (India, Sri Lanka, Maldives & Bangladesh)",,Indian Subcontinent,India,Indian Sub-Continent,,Indian Subcontinent,,"MLE,",13
BKO,Very Low,Mali,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,,"East, West and South Africa",,"BKO,",11
MLA,Low,Malta,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,,Europe 2,Europe,Europe 1 & North Africa 1,Europe,Europe 2,,"MLA,",13
MAJ,Very Low,Marshall Islands,Oceania,,Others,,Other,,Asia 2,"Oceania, Micronesia",,,Pacific 2,,Southeast Asia,"Australia, NZ and South Pacific",,,"MAJ,",8
FDF,Low,Martinique,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America",,"Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"FDF,",13
NKC,Very Low,Mauritania,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,,Central & Southern Africa,North Africa,"East, West and South Africa",,"NKC,",11
MRU,Low,Mauritius,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,,"East, West and South Africa",,"MRU,",12
DZA,Very Low,Mayotte,,,,Africa,Other,,"Middle East, Africa","Africa, Middle East",,,Africa 2 (Southern + Indian Ocean),,,,,,"DZA,",5
CUN,Medium,Mexico - Cancun,Mexico,Mexico,Mexico,Mexico,Mexico,,North America,North America,"Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Mexico,Mexico,,"CUN,",14
GDL,Medium,Mexico - Guadalajara,Mexico,Mexico,Mexico,Mexico,Mexico,,North America,North America,"Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Mexico,Mexico,,"GDL,",14
MEX,Alliance Hub,Mexico - Mexico City,Mexico,Mexico,Mexico,Mexico,Mexico,,North America,North America,"Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Mexico,Mexico,,"MEX,",14
MTY,Medium,Mexico - Monterrey,Mexico,Mexico,Mexico,Mexico,Mexico,,North America,North America,"Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Mexico,Mexico,,"MTY,",14
PVR,Medium,Mexico - Puerto Vallarta,Mexico,Mexico,Mexico,Mexico,Mexico,,North America,North America,"Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Mexico,Mexico,,"PVR,",14
SJD,Medium,Mexico - San Jose Del Cabo,Mexico,Mexico,Mexico,Mexico,Mexico,,North America,North America,"Hawaii, Central America","Caribbean, Mexico & Central America","North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Mexico,Mexico,,"SJD,",14
MLN,Very Low,Melilla,,Africa,,,Africa,,,,,,,,,,,,"MLN,",2
TIJ,Low,Mexico - Tijuana,Mexico,Mexico,Mexico,Mexico,Mexico,,North America,North America,"Hawaii, Central America",,"North America, Aruba, Bonaire, Curacao, Suriname",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Mexico,Mexico,,"TIJ,",13
TKK,Very Low,Micronesia,Oceania,,Others,Northern Asia,Other,,Asia 2,"Oceania, Micronesia",North Asia 2,,Pacific 2,Australia/New Zealand/Oceania,Southeast Asia,"Australia, NZ and South Pacific",Asia 2,,"TKK,",12
KIV,Very Low,Moldova,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,,,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"KIV,",12
ULN,Very Low,Mongolia,North Asia,Asia Region 1,North Asia,Southeast Asia,Mongolia,China/Northeast Asia,Asia 2,Asia 2,,,Asia 1 (Eastern Russia),Central Asia,Northern Asia,Southeast Asia,Asia 2,,"ULN,",13
TGD,Very Low,Montenegro,Europe,Europe,,Europe,Europe,,Europe,Europe,Europe,,,Europe,Europe 1 & North Africa 1,,Europe 2,,"TGD,",10
MNI,Very Low,Montserrat,,,,Caribbean,Other,,Central America,"South, Latin America",,,,,,,,,"MNI,",4
CMN,Low,Morocco,Northern Africa,Africa,Middle East/North Africa,Europe,Africa,,Europe,Europe,"Middle East, North Africa",,Europe 3 + North Africa,Middle East/Caucasus/North/Central Africa,Europe 2 & North Africa 2,North Africa,Middle East & North Africa,,"CMN,",13
MPM,Very Low,Mozambique,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,Africa 2 (Southern + Indian Ocean),Southern Africa,Central & Southern Africa,Africa,"East, West and South Africa",,"MPM,",13
RGN,Low,Myanmar,South Asia,Asia Region 2,South Asia,Southeast Asia,Rest of Asia,Southeast Asia,Asia 2,Asia 2,"Zone 3 - Philippines, Thailand, Vietnam, Myanmar & Cambodia","Africa, Middle East & Asia",Asia 2,South East Asia,,Southeast Asia,Asia 2,,"RGN,",14
WDH,Very Low,Namibia,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East","Central, South Africa",,,Southern Africa,,Africa,"East, West and South Africa",,"WDH,",11
INU,Very Low,Nauru,,,,Southwest Pacific,Other,,Oceania,"Oceania, Micronesia",,,,,,,,,"INU,",4
